id;name;source;climate_zone;country;coordinates;land_use;farm_size;tree;crop;livestock;description;photo;website_official_link;website_official_text;website_other_1_link;website_other_1_text;website_other_2_link;website_other_2_text;website_other_3_link;website_other_3_text
1;Wakelyns;multiple;Northern Europe;England;52.36093479871319, 1.3576048423927636;Alley cropping with annual crops;22.5;Planting started in 1994. Hazel and willow for short rotation coppice for woodchip bioenergy (densities 1000-1200/ha). Oak, Italian alder, lime, ash, wild cherry, sycamore, hornbeam for timber (densities ~ 800/ha). Apple, plum, cherry, pear, quince, apricot, peac, hazel for fruit and nuts(~400/ha). Planted in N/S rows with 10-12m wide alleys.;Cereals (grain and flour), vegetables;Occasionally small flock of laying hens in the alleys;Organic diverse alley cropping system;Wakelyns.jpg;https://wakelyns.co.uk/;Wakelyns;https://www.researchgate.net/profile/Jo-Smith-10/publication/346569437_Wakelyns_Agroforestry_Resilience_through_diversity/links/5fc792b2a6fdcc697bd366ef/Wakelyns-Agroforestry-Resilience-through-diversity.pdf;Wakelyns Agroforestry: Resilience through diversity;;;;
2;SITES experiment;Delphi;Northern Europe;Sweden;;Alley cropping with annual crops;2.2;Permanent plantings of four rows of apple trees and three hedge rows;Crop rotation of spring barley intercropped with lupin, winter rye (grass/legume ley), grass/legume ley, sugar beet, faba bean intercropped with spring wheat, winter oilseed rape, winter wheat (grass/legume ley), grass/legume ley.;;The SAFE (SITES Agroecological Field Experiment) is an entirely new and innovative resource to Swedish field research and has been established in response to a budding interest within international agricultural, environmental, and ecological research. The Agroecological Intensification system, which is a temperate silvoarable system is particularly novel.;SITES_Sweden.png;https://www.slu.se/en/departments/biosystems-technology/research-facilites/lonnstorp/safe-sites-agroecological-field-experiment/;SITES Agroecological Field Experiment (SAFE);https://youtu.be/ersIvz-wbDs;Video: SITES Lönnstorp SAFE Agroecological Intensification system animation;;;;
3;Carbon Neutral Beef Company;Delphi;Northern Europe;England;;Alley systems with livestock;49;The farm has mixed silvopastoral designs with an 'unmanaged' old coppice (ca. 20-metre wide strip), and 2-year-old wood pasture and alley planting on pasture.;Transitioning to herbal and legume leys.;Beef cattle with North Devon, South Devon and Aberdeen Angus breeds. Direct sales of processed meat from farm shop.;Low input, extensive grazing system with silvopasture wider than field scale but not (yet) farm scale;Carbon_Neutral_Beef_Company.png;https://carbonneutralbeef.co.uk/about-us/;Carbon Neutral Beef Company;https://www.youtube.com/watch?v=z-1GHg3JceQ;Video: LIVE farm tour with Henry Andrews;https://vimeo.com/854309762;Video: Henry Andrews, silvopasture trial;;
4;The Hollies Farm;Delphi;Northern Europe;England;;Alley systems with livestock;16;Trees 20 years old, planted in rows with alleys of 20 m width with trees spaced 5 m within rows. Diverse species mix, including ash, elm, zelkova, sweetgum, honey locust, black locust, hackberries, hawthorns and nuts: walnut, hickory, sweet chestnut, almond, maidenhair and hazel. Produces nuts, timber and tree fodder/browse;Permanent grassland rich in clovers and other herbs, for grazing;Youngstock for local dairy farm;A commercial, organic operation. The tree component has been experimental with clear learning for climate change adaptation. Also high demonstration value with the farmer often receiving visits.;The_Hollies.jpg;https://www.silvaspin.org.uk/;The Hollies Farm;https://www.soilassociation.org/farmers-growers/farming-news/2017/february/23/shropshire-agroforestry/;Shropshire Agroforestry: Trees, hedgerows and cattle;;;;
5;Loughgall Silvopasture;Delphi;Northern Europe;Northern Ireland;;Wood pasture;60;35 years old, planted at 5x5m, ash trees. Products: timber, Hurley sticks, grass, wool/meat from sheep.;Permanent grassland;Sheep;In 1989 AFBI participated in the UK Agroforestry Research Network and from it the National Network Silvopastoral Experiment (NNE) with a site on its research station at Loughgall, Co. Armagh and an on-farm site.  These sites are still available for research purposes.;Loughgall_Silvopasture.jpg;https://www.afbini.gov.uk/articles/farm-woodland-agroforestry-projects;Farm Woodland & Agroforestry projects;https://youtu.be/FwfsBjF3iBI;Video: IAF Director Dr Jim McAdam visits a 25 year old silvopasture site in Loughall Co.Armagh;;;;
6;Loughgall Silvoarable;Delphi;Northern Europe;Northern Ireland;;Alley cropping with annual crops;60;25 years old, planted at 12.5 x 5, four hybrids  of poplar. Products: barley first 7 years, grass, biomass, wool/meat from sheep ;Barley, permanent grassland;Sheep;In 1989 AFBI participated in the UK Agroforestry Research Network and from it the National Network Experiment (NNE) with a site on its research station at Loughgall, Co. Armagh and an on-farm site.  These sites are still available for research purposes. ;Loughgall_silvoarable.jpg;https://www.afbini.gov.uk/articles/farm-woodland-agroforestry-projects;Farm Woodland & Agroforestry projects;https://youtu.be/FwfsBjF3iBI;Video: IAF Director Dr Jim McAdam visits a 25 year old silvopasture site in Loughall Co.Armagh;;;;
7;Rathsherry Farm ;Delphi;Northern Europe;Northern Ireland;;Wood pasture;12;30+ year old sycamore in pasture used for sheltering livestock in winter;Mixed species upland grassland;Belted Galloway cattle and Scottish Blackface X sheep;An upland silvopastoral trial planted in 1991 (by Jim McAdam as part of the UK  National Network Silvopastoral Experiment) in the Antrim hills above Broughshane. In the late 1990’s the Broughshane site was passed back to the landowning farmer-Ian Gibson who, very fortunately and perceptively continued to maintain the site and use the silvopastoral plots at key times in the grazing cycle of his mixed sheep and beef upland farm. The site has mature sycamore in pasture and is used by the farmer to help outwinter stock in a harsh environment.;Rathsherry_Farm.jpg;https://www.nationalsheep.org.uk/workspace/news-pdfs/nsa-and-woodland-trust-sheep-and-trees-compressed.pdf#page=7;Thomas Gibson – providing shelter at lambing time in Ballymena;;;;;;
8;Warwickshire walnut;Delphi;Northern Europe;England;;Alley systems with livestock;50;Walnut trees for nut production, planted at 10 x 10m spacing;Permanent grassland;Sheep;Walnut orchards combined with grazed permanent pasture;Warwicksire_walnuts.jpg;https://www.warwickshirewalnuts.co.uk/agroforestry/;Warwickshire Walnuts & Trees;;;;;;
9;Vallanes organic;Delphi;Northern Europe;Iceland;;Hedgerows, riparian buffers and shelterbelts;40;Native broadleaves;Arable and vegetable crops, beetroot, carrot, oats, rye, oilseed rape;;The farmers planted 1 million trees to make shelter for their crops. ;Vallanes_organic.png;https://modirjord.is/en/;Móðir Jörð;;;;;;
10;Hestbjerg Økologi;Delphi;Northern Europe;Denmark;;Agrosilvopastoral;1000;Mainly poplar, but depending on farm site, also Sitka spruce, Cherry plum, Aronia, Hazel, Wild apple. The trees are planted in rows, and located at the end of each individual sow paddock. Tree density varies between locations (1500-1800 trees per hectare). For example, at one farm site, plants per hectare: Poplar = 1250, Cherry plum, Aronia, Hazel, Wild apple, each = 83. The first poplar trees established in 2011 while the latest (above mentioned example) was established in 2021.;Pasture (grass clover) and cereals (e.g. barley undersown with grass clover) in a two year crop rotation;"The farm includes sows and piglets (outdoor) and finishers (organic indoor stables with access to outdoor concrete runs). 
The trees are (mainly) implemented on the areas 'grazed' by the lactating sows. 
The pork is (mainly) sold as 'Poppelgris fra Hestbjerg' (Poplarpig from Hestbjerg)";"The farm includes sows and piglets (outdoor) and finishers (organic indoor stables with access to outdoor concrete runs) approximately 1100 sows. The trees are (mainly) implemented on the areas 'grazed' by the lactating sows. 
The pork is (mainly) sold as 'Poppelgris fra Hestbjerg' (Poplarpig from Hestbjerg): https://hestbjerg.dk/poppelgris-fra-hestbjerg/";Hestbjerg_Okologi.jpg;https://hestbjerg.dk/poppelgris-fra-hestbjerg/;Hestbjerg Økologi;https://hestbjerg.dk/wp-content/uploads/2017/08/Hestbjerg_folder_en.pdf;Hestbjerg Økologi brochure;;;;
11;Dehesa of Casablanca;EURAF Featured Farms;Southern Europe;Spain;40.11225160457736, -6.085596233248231;Wood pasture;421;"The farm has a total area of 421 ha of wooded pastures of which the larger part (259 ha) is the typical dehesa with scattered holm oak trees (Quercus ilex) at a density of 30-40 trees/ha; 66 ha of productive cork oak (Quercus suber) forest; 6,5 ha of organic olive orchards, and an additional 15 ha of wooded summer pastures with ash (Fraxinus angustifolia) and oak (Quercus pyrenaica) which are located 30 km away from Casablanca, on the piedemont of the Gredos mountain range. Cork is an important source of income every 10 years, with an average productivity of 41.000 kg per harvest. Pruning holm oak trees results in about 25.000 kg of fuelwood annually as well as providing animals with palatable tree fodder in winter when grass resources are limited.";In addition to the extensive areas of wooded pastures, 75 ha is pasture land, which are reserved for hay production.;Livestock and forest resources are rich and varied. The wooded pastures of Casablanca permanently sustain 135 cattle heads of the native breed Avileña and Berrenda and 14 heads of certified Iberian pigs. An additional 125 Iberian pigs pasture (pannage) in these woodlands during the mast season, from October to January. The practices of rotational grazing, based on a careful assessment of pasture carrying capacity and a strict control of the number of days livestock can graze each plot, and transterminance- the seasonal movement of part of the herd to the summer grazing lands- are key to the long-term persistence of the Dehesa of Casablanca, as pasture productivity is enhanced while tree regeneration is ensured as a result of reduced animal browsing. Every year from October to June Dehesa of Casablanca also host 150 beehives for honey production. The beekeeper pays the farm owners a token amount of honey for self-consumption.;Dehesa of Casablanca is a family owned and managed livestock farm located in Oliva de Plasencia, southwestern Spain. It is a productive, profitable and environmentally friendly organic farm that can be considered the epitome of sustainable land management. The concepts of diversity, in habitats, vegetation types, resources, and livelihoods, and adaptability underpins management approaches and decisions. The farm has a total area of 421 ha of wooded pastures, pasture land, cork oak forest and organic olive orchards. Water resources are abundant throughout the farm. There are 2 man-made lakes, 6 ponds and 1 natural spring and a seasonal brook that runs through the farm. These water bodies are important not only for livestock but also as the habitat for a variety of aquatic birds and amphibians, and as the source of drinking water for many wild animals including deer and wild boar.;dehesa_casablanca_olivadeplasencia.jpg;https://doi.org/10.5281/zenodo.10902817;EURAF Featured Farm;;;;;;
