Climate region;Baseline system;Agroforestry/Mixed farming type;Description;Image;Image description;Mean temperature;Heat extremes;Cold extremes;Mean precipitation;Extreme precipitation;Drought;Windstorms;Establishment costs;Management ease;Financial performance with subsidies;Financial performance without subsidies;Link to literature review;Case studies;exposure_1;exposure_2;exposure_3;exposure_4;exposure_5;exposure_6;exposure_7;exposure_8;exposure_9;sensitivity_1;sensitivity_2;sensitivity_3;sensitivity_4;sensitivity_5;sensitivity_6;sensitivity_7;sensitivity_8;sensitivity_9;sensitivity_10;sensitivity_11;sensitivity_12;sensitivity_13;adaptive_capacity_1;adaptive_capacity_2;adaptive_capacity_3;adaptive_capacity_4;adaptive_capacity_5;adaptive_capacity_6;adaptive_capacity_8;caveats_1;caveats_2;caveats_3;caveats_4;caveats_5;caveats_6;caveats_7;caveats_8;caveats_9;caveats_10;caveats_11;caveats_12;caveats_13;caveats_14;trade_offs_1;trade_offs_2;trade_offs_3;trade_offs_4;trade_offs_5;trade_offs_6;trade_offs_7;trade_offs_8
Northern Europe;Annual crops;Agrosilvopastoral;Combination of trees, livestock and annual crops (arable, vegetables) within the same system, usually on a rotation. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;NE_agrosilvopastoral.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;;x;x;x;x;;x;x;x;x;;x;x;x
Northern Europe;Annual crops;Alley cropping with annual crops;Within-field linear systems with annual crops (arable, vegetables) grown in alleys between tree rows. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;NE_alley_cropping_wakelyns_orc.jpg;;Higher;Higher;Higher;Higher;Higher;Higher;Higher;Expensive;Harder;No consensus;No consensus;;;x;x;x;;;x;x;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;;;x;x;x;;;x;x;x;;x;x;x;;;x;x;x;x;;x;x;x
Northern Europe;Annual crops;Forest farming;Cultivation of high-value crops under the protection of a managed tree canopy.;;;Higher;Higher;No consensus;Higher;Higher;No consensus;Higher;No consensus;No consensus;No consensus;Unknown;;;x;x;x;x;x;x;x;;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;;x;x;x;;x;x;x;x;;x;x;;x;;x;;
Northern Europe;Annual crops;Hedgerows, riparian buffers and shelterbelts;Linear systems of shrubs and trees around field perimeters or adjacent to streams, rivers, lakes or wetlands. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;NE_linear_feature_hedge_orc.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;x;x;x;;;;;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;;;;x;x;;x;x;x;x;;x;x;x;x;;x;;x
Northern Europe;Annual crops;Intercropped orchards;Permanent woody crops (top fruit, nuts, vines, olives) with annual crops (arable, vegetables).;NE_intercropped_orchard.jpg;;Higher;Higher;No consensus;Higher;Higher;No consensus;Higher;Expensive;No consensus;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;;x;x;x;;x;x;x;x;;x;x;;x;;x;x;
Northern Europe;Forestry;Forest farming;Cultivation of high-value crops under the protection of a managed tree canopy.;;;Unknown;No consensus;Unknown;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;x;;x;x;x;x;;;;;x;x;x;;
Northern Europe;Forestry;Forest grazing;Livestock incorporated into woodlands or forest.;NE_forest_grazing_pigs.jpg;;No consensus;No consensus;Unknown;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;
Northern Europe;Forestry;Wood pasture;Livestock with scattered trees. The trees can be productive (e.g. fruit, timber, cork, fodder) or not.;NE_wood_pasture_orc.jpg;;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;No consensus;;;;;;;;;;;x;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;
Northern Europe;Livestock;Agrosilvopastoral;Combination of trees, livestock and annual crops (arable, vegetables) within the same system, usually on a rotation. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;NE_agrosilvopastoral.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;No consensus;No consensus;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;;x;;x;;x
Northern Europe;Livestock;Alley systems with livestock;Within-field linear systems with pasture or forage grown in alleys between tree rows. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;NE_alley_systems_with_livestock.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;x;x;x;;;x;x;x;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;;;x;x;x;;x;x;x;;x;x;x;x;;;x;x;x;x;;x;;x
Northern Europe;Livestock;Forest grazing;Livestock incorporated into woodlands or forest.;NE_forest_grazing_orc.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;No consensus;No consensus;No consensus;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;;
Northern Europe;Livestock;Grazed orchards;Permanent woody crops (top fruit, nuts, vines, olives) with livestock.;NE_grazed_orchards_copyright_agforward.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;;x
Northern Europe;Livestock;Hedgerows, riparian buffers and shelterbelts;Linear systems of shrubs and trees around field perimeters or adjacent to streams, rivers, lakes or wetlands. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;NE_linear_feature_hedge_orc.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;Higher;No consensus;Harder;More profitable;No consensus;;;x;x;x;;;;;x;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;;x;;x;;x;x;x;x;x;;x;x;x;x;;x;;x
Northern Europe;Livestock;Wood pasture;Livestock with scattered trees. The trees can be productive (e.g. fruit, timber, cork, fodder) or not.;NE_wood_pasture_orc.jpg;;Higher;Higher;No consensus;Higher;Higher;Higher;No consensus;No consensus;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;;;x;x;;x;x;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;;x;x;x;x;x;;x;x;;x;;x;;x
Northern Europe;Orchards;Grazed orchards;Permanent woody crops (top fruit, nuts, vines, olives) with livestock.;NE_grazed_orchards_copyright_agforward.jpg;;No consensus;No consensus;Unknown;No consensus;No consensus;No consensus;No consensus;No consensus;Harder;No consensus;No consensus;;;;;;;;;;;;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Northern Europe;Orchards;Intercropped orchards;Permanent woody crops (top fruit, nuts, vines, olives) with annual crops (arable, vegetables).;NE_intercropped_orchard.jpg;;Unknown;No consensus;Unknown;No consensus;No consensus;No consensus;No consensus;No consensus;Harder;More profitable;No consensus;;;;;;;;;;;;;;x;;;x;x;x;x;x;;;;x;x;x;x;x;x;;;;;;x;;;;;x;x;x;x;;;;;x;x;x;;x
Southern Europe;Annual crops;Agrosilvopastoral;Combination of trees, livestock and annual crops (arable, vegetables) within the same system, usually on a rotation. Trees can be productive (e.g. fruit, timber, short rotation coppice, fodder) or not.;SE_agrosilvopastoral.jpg;;Much higher;Higher;Higher;Higher;Higher;Higher;Higher;No consensus;Harder;No consensus;No consensus;;;x;x;x;x;x;x;x;x;;x;x;;;;x;x;;x;x;;;;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;;x;x;x;x;;x;x;x;x;;x;;x
