x,y,pressures
75,38,1
76,38,1
76,43,2
77,31,2
77,37,1
77,44,1
80,43,3
81,27,1
81,38,1
81,43,3
83,27,2
83,28,2
83,29,2
84,41,5
84,42,1
85,27,2
85,28,2
85,29,2
85,30,2
85,39,1
85,40,6
85,41,5
85,42,1
85,45,5
86,28,5
86,30,2
86,39,2
86,41,2
86,42,4
86,44,4
86,45,5
86,46,6
86,51,2
87,27,6
87,31,6
87,40,3
87,41,2
87,42,3
87,43,1
87,44,2
87,45,0
87,46,5
87,47,5
87,48,2
87,51,2
88,26,3
88,27,5
88,28,5
88,29,6
88,32,1
88,38,1
88,39,2
88,40,5
88,41,2
88,42,4
88,45,1
88,46,5
88,47,4
88,48,2
88,51,2
88,52,4
89,28,5
89,29,5
89,30,1
89,32,2
89,39,5
89,41,2
89,42,4
89,46,5
89,48,4
89,50,2
89,52,5
90,27,6
90,28,5
90,30,3
90,31,2
90,34,1
90,40,2
90,42,3
90,45,2
90,48,5
90,49,2
90,53,3
91,27,6
91,29,6
91,30,1
91,38,4
91,39,2
91,44,3
91,45,1
91,46,4
91,47,5
91,49,5
91,51,1
91,52,2
91,53,2
92,27,5
92,28,6
92,29,6
92,30,6
92,31,6
92,32,1
92,39,5
92,40,4
92,43,3
92,44,4
92,45,4
92,46,4
92,47,5
92,48,2
92,49,5
92,51,4
92,52,3
92,53,1
93,28,5
93,29,7
93,31,6
93,32,2
93,38,5
93,39,3
93,42,2
93,44,4
93,49,6
93,51,1
93,52,4
93,53,2
93,54,5
93,55,5
93,76,2
94,27,6
94,28,6
94,29,6
94,30,6
94,31,1
94,32,5
94,34,6
94,37,6
94,38,5
94,39,5
94,40,5
94,42,2
94,44,1
94,48,1
94,49,5
94,50,5
94,51,4
94,53,4
94,54,3
94,55,5
94,56,5
94,88,2
95,26,7
95,28,6
95,29,4
95,30,4
95,31,4
95,32,2
95,33,7
95,34,6
95,35,1
95,37,4
95,38,5
95,39,5
95,40,4
95,41,4
95,44,5
95,45,4
95,46,2
95,49,5
95,50,3
95,51,3
95,56,1
95,58,4
95,59,4
95,64,1
95,76,1
95,87,2
96,27,2
96,28,4
96,31,6
96,32,4
96,33,6
96,34,5
96,37,4
96,38,5
96,39,4
96,40,5
96,41,4
96,42,3
96,43,4
96,44,5
96,45,6
96,46,5
96,47,3
96,48,5
96,49,5
96,50,4
96,52,0
96,56,2
96,83,0
97,27,5
97,28,6
97,29,4
97,31,5
97,32,4
97,34,5
97,35,2
97,37,6
97,38,5
