x,y,pressures
0,2,3
0,3,3
0,4,3
0,6,3
0,7,3
0,8,3
0,9,3
0,10,3
0,11,3
0,12,3
0,13,3
0,14,3
0,15,3
0,16,3
0,17,3
0,18,3
0,19,3
0,21,3
0,22,3
0,23,3
0,24,3
0,25,3
0,26,3
0,27,3
0,28,3
0,29,2
0,30,2
0,31,2
0,33,2
0,34,2
0,40,2
0,44,2
0,45,2
0,51,2
1,0,3
1,2,3
1,4,3
1,6,3
1,8,3
1,10,3
1,11,3
1,12,3
1,13,3
1,15,3
1,16,3
1,17,3
1,18,3
1,19,3
1,20,3
1,21,3
1,23,3
1,24,3
1,25,3
1,26,3
1,28,3
1,29,2
1,30,2
1,31,2
1,32,2
1,33,2
1,34,2
1,35,2
1,36,2
1,38,2
1,41,2
1,42,2
1,44,2
1,45,2
1,46,2
1,53,2
1,54,2
2,1,3
2,2,3
2,3,3
2,4,3
2,5,3
2,8,3
2,9,3
2,10,3
2,16,3
2,17,3
2,18,3
2,19,3
2,20,3
2,21,3
2,22,3
2,23,3
2,24,3
2,25,3
2,26,3
2,27,3
2,28,3
2,29,2
2,30,2
2,31,3
2,32,3
2,33,3
2,34,3
2,35,2
2,36,2
2,42,2
2,43,2
2,44,2
2,45,2
2,48,2
2,53,2
2,54,2
3,2,3
3,3,3
3,5,3
3,6,3
3,8,3
3,9,3
3,10,3
3,11,3
3,13,3
3,14,3
3,15,3
3,18,3
3,19,3
3,23,3
3,24,3
3,25,3
3,26,3
3,27,3
3,28,3
3,29,3
3,30,3
3,31,3
3,32,3
3,33,3
3,34,3
3,35,2
3,41,2
3,42,2
3,43,2
3,44,2
3,45,2
3,47,2
3,48,2
3,50,2
3,53,2
4,2,3
4,3,3
4,4,3
4,9,3
4,10,3
4,12,3
4,13,3
4,15,3
4,16,3
4,17,3
4,18,3
4,19,3
4,20,3
4,21,3
4,22,3
4,24,3
4,25,3
4,26,3
4,27,3
4,28,3
4,30,3
4,35,2
4,42,2
4,45,2
4,46,2
4,47,2
4,48,2
4,55,2
5,2,3
5,4,3
5,6,3
5,9,3
5,10,3
5,11,3
5,13,3
5,14,3
5,15,3
5,18,3
5,19,3
5,20,3
5,21,3
5,22,3
5,23,3
5,25,3
5,26,3
5,27,3
5,32,3
5,33,3
5,34,3
5,41,2
5,42,2
5,45,2
5,46,2
5,47,2
5,48,2
5,49,2
5,50,2
5,51,2
5,55,2
6,2,3
6,3,3
6,5,3
6,6,3
6,7,3
6,9,3
6,11,3
6,12,3
6,13,3
6,14,3
6,19,3
6,21,3
6,22,3
6,23,3
6,24,3
6,25,3
6,26,3
6,31,3
6,33,3
6,34,3
6,45,2
6,46,2
6,47,2
6,49,2
6,50,2
6,51,2
6,55,3
7,5,3
7,6,3
7,7,3
7,8,3
7,10,3
7,12,3
7,18,3
7,19,3
7,20,3
7,21,3
7,22,3
7,25,3
7,26,3
7,27,3
7,28,3
7,31,3
7,32,3
7,33,3
7,34,3
7,41,2
7,42,2
7,43,2
7,45,2
7,50,3
7,51,3
7,52,3
7,53,3
7,56,3
8,6,3
8,7,3
8,10,3
8,11,3
8,18,3
8,20,3
8,21,3
8,27,3
8,32,3
8,35,3
8,37,2
8,39,3
8,40,3
8,41,3
8,42,2
8,43,2
8,44,2
8,52,3
8,53,3
8,54,3
8,55,3
9,9,3
9,14,3
9,16,3
9,17,3
9,19,3
9,20,3
9,34,3
9,37,3
9,38,3
9,41,3
9,42,2
9,43,2
9,44,2
9,48,3
9,49,3
9,50,3
9,53,3
9,54,3
9,55,3
9,56,3
9,58,3
10,3,3
10,15,3
10,16,3
10,17,3
10,18,3
10,19,3
10,20,3
10,21,3
10,34,3
10,36,3
10,38,3
10,41,3
10,42,2
10,43,2
10,44,2
10,46,2
10,49,3
10,50,3
10,52,3
10,53,3
10,55,3
10,56,3
11,9,3
11,10,3
11,12,3
11,22,3
11,34,3
11,35,3
11,36,3
11,37,3
11,38,3
11,39,3
11,40,3
11,41,3
11,42,2
11,43,2
11,44,2
11,45,2
11,46,2
11,48,3
11,52,3
11,53,3
11,54,3
11,55,3
12,0,3
12,8,3
12,9,3
12,10,3
12,11,3
12,12,3
12,13,3
12,14,3
12,15,3
12,16,3
12,17,3
12,23,3
12,31,3
12,35,3
12,36,3
12,37,3
12,38,3
12,39,3
12,40,3
12,41,3
12,42,2
12,43,2
12,44,2
12,45,2
12,46,2
12,52,3
12,53,3
13,5,3
13,7,3
13,8,3
13,9,3
13,11,3
13,12,3
13,13,3
13,14,3
13,15,3
13,16,3
13,17,3
13,18,3
13,20,3
13,21,3
13,22,3
13,23,3
13,24,3
13,30,3
13,31,3
13,35,3
13,39,3
13,40,3
13,41,3
13,42,2
13,43,2
13,44,2
13,45,2
13,47,2
13,50,3
14,7,3
14,8,3
14,12,3
14,13,3
14,14,3
14,15,3
14,17,3
14,20,3
14,21,3
14,22,3
14,24,3
14,29,3
14,31,3
14,36,3
14,37,3
14,39,3
14,40,3
14,41,3
14,42,2
14,43,2
14,44,2
14,45,2
14,47,3
14,48,3
14,49,3
14,50,3
15,7,3
15,8,3
15,9,3
15,13,3
15,15,3
15,16,3
15,17,3
15,18,3
15,19,3
15,20,3
15,21,3
15,22,3
15,30,3
15,31,3
15,34,3
15,35,3
15,36,3
15,38,3
15,41,3
15,42,3
15,43,3
15,45,3
15,47,3
15,48,3
15,49,3
15,50,3
16,10,3
16,11,3
16,12,3
16,14,3
16,15,3
16,16,3
16,18,3
16,19,3
16,20,3
16,21,3
16,22,3
16,23,3
16,29,3
16,31,3
16,34,3
16,35,3
16,36,3
16,38,3
16,39,3
16,41,3
16,42,3
16,43,3
16,44,3
16,45,3
16,48,3
17,7,3
