x,y,pressures
0,43,3
0,44,2
0,46,3
0,48,3
0,49,4
0,50,5
0,56,4
0,57,3
0,59,1
0,60,1
0,62,5
0,64,5
0,67,4
0,68,3
0,69,5
0,70,4
0,72,6
0,74,6
0,75,6
0,76,6
0,78,4
0,79,4
0,80,6
0,81,5
0,83,3
0,84,5
0,85,5
0,87,7
0,89,5
0,90,7
0,91,7
0,92,4
0,93,6
0,94,4
0,95,7
0,96,7
0,97,6
0,98,7
0,99,4
0,100,5
0,101,6
0,103,6
0,107,5
0,108,6
0,109,6
0,110,6
0,111,6
0,112,6
0,113,5
0,114,6
0,115,6
0,116,6
0,120,3
0,121,6
0,122,7
0,123,4
0,124,8
0,125,7
0,127,7
1,44,3
1,45,3
1,46,2
1,47,4
1,48,5
1,50,6
1,52,5
1,56,1
1,57,3
1,58,2
1,59,3
1,62,6
1,64,4
1,65,5
1,66,3
1,68,4
1,69,6
1,70,5
1,71,5
1,72,6
1,74,7
1,75,6
1,77,7
1,78,3
1,79,2
1,80,4
1,81,6
1,82,4
1,83,4
1,84,7
1,85,4
1,86,6
1,89,5
1,90,6
1,91,6
1,92,5
1,93,6
1,95,6
1,96,6
1,97,6
1,98,6
1,100,5
1,101,7
1,102,6
1,103,6
1,104,5
1,105,6
1,107,6
1,109,6
1,110,5
1,111,6
1,112,6
1,113,6
1,114,7
1,115,6
1,116,7
1,117,5
1,118,6
1,119,5
1,120,5
1,121,8
1,122,8
1,123,7
1,125,2
1,126,5
2,44,1
2,45,3
2,46,2
2,47,4
2,49,3
2,50,5
2,51,5
2,54,3
2,55,2
2,57,3
2,58,3
2,60,3
2,63,6
2,65,4
2,67,5
2,69,6
2,74,6
2,75,6
2,76,7
2,77,6
2,78,6
2,79,3
2,80,3
2,81,7
2,82,5
2,83,7
2,84,5
2,85,5
2,86,7
2,87,7
2,88,4
2,89,5
2,90,7
2,91,6
2,92,5
2,93,6
2,94,6
2,95,6
2,96,7
2,97,7
2,98,5
2,100,6
2,101,5
2,102,6
2,103,6
2,104,5
2,105,5
2,109,5
2,110,6
2,111,7
2,112,6
2,113,5
2,114,6
2,115,5
2,116,6
2,117,7
2,118,8
2,119,8
2,120,8
2,123,7
2,125,5
2,126,5
3,44,0
3,46,1
3,47,1
3,49,3
3,50,5
3,51,5
3,52,2
3,54,3
3,55,4
