x,y,pressures
0,66,0
0,67,0
0,70,0
0,71,0
0,72,0
0,74,1
0,75,1
0,79,0
0,80,0
1,66,0
1,67,0
1,70,0
1,71,0
1,74,2
1,75,1
2,64,0
2,66,0
2,67,0
2,71,0
2,72,0
2,73,1
2,77,1
2,79,0
3,64,1
3,66,0
3,67,0
3,69,1
3,71,0
3,72,1
3,75,1
3,76,3
3,78,0
3,81,0
4,64,1
4,65,0
4,66,0
4,70,0
4,71,0
4,72,2
4,74,0
4,75,0
4,76,0
4,77,1
4,78,2
4,79,2
5,64,1
5,65,0
5,67,0
5,70,0
5,72,0
5,75,0
5,76,1
5,77,1
5,79,1
5,80,3
6,64,1
6,70,0
6,71,0
6,72,0
6,74,2
6,75,1
6,78,1
6,79,1
6,80,1
6,81,1
7,63,1
7,64,1
7,70,0
7,71,0
7,72,1
7,74,0
7,75,0
7,76,3
7,77,0
7,78,1
7,79,1
7,80,0
7,81,0
8,63,2
8,64,1
8,70,0
8,71,1
8,74,0
8,75,1
8,76,0
8,77,1
8,78,2
8,79,2
8,80,0
8,82,0
8,83,0
9,63,3
9,70,0
9,71,3
9,73,0
9,74,0
9,79,1
9,81,1
9,82,0
10,63,1
10,70,1
10,71,3
10,78,0
10,80,1
10,81,2
10,82,4
11,61,0
11,71,3
11,73,2
11,74,1
11,75,0
11,76,0
11,77,1
11,78,0
11,82,4
12,60,0
12,69,1
12,70,0
12,71,2
12,74,0
12,75,4
12,76,0
12,81,0
12,82,4
12,83,1
13,70,0
13,71,0
13,72,2
13,74,0
13,75,0
13,76,1
13,77,0
14,61,0
14,62,1
14,69,1
14,71,0
14,73,0
14,74,0
14,75,0
15,61,0
15,62,0
15,71,0
15,72,0
15,73,0
15,74,1
15,75,0
15,76,0
15,77,0
15,84,1
16,61,1
16,69,1
16,84,1
16,85,2
17,61,1
17,63,0
17,68,0
17,69,0
17,83,4
18,62,1
18,63,0
18,82,1
18,83,4
18,84,2
18,86,2
18,87,1
19,61,0
19,62,0
19,63,1
19,83,3
19,84,1
19,85,3
19,86,1
20,62,0
20,66,0
20,82,0
20,83,1
20,84,1
20,85,1
20,87,1
21,60,1
21,61,0
21,62,0
21,65,0
21,66,1
21,83,0
21,84,1
21,85,1
21,86,1
21,87,3
22,57,0
22,58,2
22,59,1
22,60,1
22,64,0
22,84,1
22,85,1
22,86,1
22,87,1
23,58,1
23,63,0
23,80,1
23,83,1
23,84,1
23,85,2
23,86,1
23,87,1
23,88,1
23,89,1
23,90,1
24,57,0
24,58,2
24,59,1
24,61,1
24,70,0
24,86,1
24,91,1
25,57,1
25,58,2
25,59,1
25,60,2
25,62,0
25,74,1
25,80,0
25,81,0
25,83,3
25,87,3
25,90,3
26,58,1
26,59,1
26,72,0
26,88,0
26,89,1
26,90,3
27,58,1
27,59,0
27,69,1
27,70,1
27,71,1
27,72,1
27,85,1
27,86,0
27,87,3
27,88,1
27,89,1
27,90,1
27,91,1
27,92,1
28,58,1
28,59,0
28,60,1
28,61,0
28,62,1
28,63,1
28,70,2
28,71,1
28,72,1
28,73,4
28,75,1
28,84,1
28,85,2
28,86,2
28,87,2
28,88,2
28,89,2
28,90,1
28,92,1
29,58,0
29,59,0
29,60,1
29,63,1
29,70,0
29,71,2
29,83,1
29,84,0
29,87,1
29,89,1
29,90,1
29,91,1
29,92,2
29,94,0
30,58,1
30,59,1
30,60,0
30,61,1
30,62,2
30,63,1
30,68,1
30,69,1
30,70,0
30,71,1
30,72,0
30,73,1
30,74,1
30,84,0
30,85,1
30,86,1
30,87,0
30,91,1
30,92,2
30,93,2
30,94,2
31,59,0
31,60,0
31,62,2
31,63,2
31,65,0
31,66,1
31,68,1
31,69,1
31,72,0
31,73,0
31,84,0
31,85,1
31,86,1
31,87,1
31,88,1
31,89,1
31,91,1
31,92,1
32,59,1
32,61,1
32,62,2
32,63,2
32,64,1
32,66,0
32,67,1
32,69,1
32,70,3
32,71,3
32,85,0
32,86,1
32,87,1
32,88,1
32,92,1
32,93,0
33,59,1
33,61,1
33,64,1
33,67,1
33,68,1
33,70,1
33,72,1
33,85,2
33,88,1
33,89,1
33,93,1
34,59,1
34,60,1
34,61,1
34,62,2
34,64,3
34,65,4
34,70,3
34,72,0
34,87,1
34,88,1
34,89,1
35,60,2
35,61,1
35,62,1
35,63,1
35,64,4
35,65,5
35,68,3
35,69,1
35,70,0
35,86,1
35,87,2
35,88,2
