x,y,pressures
70,5,28
71,5,10
71,6,7
71,7,5
72,6,13
72,7,24
72,8,27
72,9,21
72,10,11
72,11,22
72,12,11
73,7,0
73,8,2
73,9,20
73,10,22
73,11,9
73,12,17
74,11,4
74,12,9
74,13,4
75,0,10
75,12,5
75,13,12
75,14,0
75,15,2
76,4,2
76,8,2
76,9,15
76,12,1
76,13,2
76,14,9
76,15,2
76,16,4
76,17,6
77,0,4
77,1,4
77,2,2
77,6,2
77,7,3
77,8,7
77,9,9
77,10,5
77,13,1
77,14,3
77,15,8
77,17,1
77,18,0
78,0,11
78,2,23
78,6,9
78,7,9
78,8,3
78,9,11
78,10,3
78,13,2
78,14,1
78,15,5
78,17,12
78,18,7
79,0,1
79,3,5
79,4,5
79,5,4
79,6,3
79,7,8
79,8,20
79,9,7
79,10,39
79,11,22
79,14,5
79,15,18
79,16,5
79,18,8
80,0,5
80,1,1
80,2,13
80,3,10
80,4,11
80,5,9
80,6,6
80,7,4
80,9,7
80,10,11
80,15,8
80,16,0
80,17,10
80,18,5
80,19,9
81,0,5
81,1,8
81,2,17
81,3,13
81,4,6
81,5,3
81,6,1
81,7,6
81,8,2
81,16,6
81,17,20
81,18,5
81,19,10
82,0,1
82,1,42
82,2,43
82,3,57
82,4,5
82,5,6
82,6,6
82,7,28
82,8,15
82,10,4
82,11,4
82,18,2
82,19,5
82,20,5
83,0,12
83,1,98
83,2,25
83,3,2
83,4,8
83,5,8
83,6,2
83,7,22
83,8,1
83,9,1
83,10,0
83,11,0
84,0,23
84,1,23
84,2,3
84,3,12
84,4,57
84,5,8
84,6,3
84,7,10
84,8,1
84,9,3
84,10,4
84,11,1
84,12,9
85,0,7
85,1,23
85,2,15
85,3,3
85,4,81
85,5,17
85,6,24
85,7,35
85,8,2
85,9,0
85,11,3
85,12,1
85,13,1
85,14,4
86,0,18
86,1,73
86,2,22
86,3,46
86,4,1
86,6,10
86,7,13
86,8,13
86,9,23
86,10,5
86,11,3
86,12,1
86,13,1
86,15,9
86,16,5
87,0,42
87,1,33
87,2,35
87,3,24
87,5,4
87,6,2
87,7,1
87,8,3
87,10,11
87,11,5
87,12,1
87,13,1
87,14,3
87,17,2
88,0,25
88,1,17
88,2,28
88,3,16
88,4,0
88,5,3
88,6,1
88,7,1
88,8,4
88,9,12
88,11,16
88,12,1
88,13,5
88,14,7
88,15,6
88,16,4
88,18,2
89,0,21
89,1,45
89,2,27
89,3,32
89,4,23
89,5,6
89,6,7
89,7,22
89,8,18
89,9,6
89,10,6
89,11,5
89,12,4
89,13,7
89,14,21
89,15,16
89,16,9
89,18,8
90,0,16
90,1,51
90,3,58
90,4,37
90,5,20
90,6,25
90,7,49
90,8,19
90,9,2
90,10,2
90,11,7
90,12,2
90,13,0
90,14,3
90,15,13
90,16,6
90,17,19
90,18,34
91,0,24
91,1,36
91,2,1
91,3,83
91,4,13
91,5,47
91,6,13
91,7,20
91,8,33
91,9,15
91,10,4
91,11,4
91,12,17
91,13,14
91,14,13
91,15,7
91,16,3
91,17,7
91,18,12
92,1,4
92,2,15
92,3,6
92,4,49
92,5,4
92,6,53
92,7,7
92,8,56
92,9,19
92,10,22
92,11,3
92,12,17
92,13,7
92,14,40
92,15,6
92,16,2
92,17,21
92,18,14
93,2,5
93,3,52
93,4,7
93,5,4
93,6,35
93,7,4
93,8,24
93,9,94
93,10,16
93,11,16
93,12,42
93,13,11
93,14,6
93,15,6
93,16,39
93,17,19
93,18,8
94,0,3
94,2,2
94,3,52
94,4,29
94,5,17
94,6,54
94,7,28
94,9,64
94,10,5
94,11,8
94,12,16
94,13,4
94,14,30
94,15,2
94,17,11
95,0,13
95,2,16
95,3,46
95,4,34
95,5,4
95,6,58
95,7,59
95,12,36
95,13,17
95,14,4
95,15,2
95,16,8
95,17,36
95,18,8
96,0,24
96,1,16
96,2,14
96,3,63
96,4,44
96,5,24
96,6,59
96,7,147
96,8,6
96,12,15
96,13,10
96,14,9
96,16,3
96,17,54
96,18,6
97,0,37
97,1,38
97,2,41
97,3,24
97,4,52
97,5,75
97,6,72
97,7,89
97,13,29
97,14,32
97,15,6
97,16,60
97,17,180
97,18,23
98,0,69
98,1,146
98,2,124
98,3,64
98,4,77
98,5,82
98,6,126
98,7,16
98,14,84
98,15,12
98,16,148
98,17,239
98,18,7
99,0,115
99,1,179
99,2,135
99,3,166
99,4,112
99,5,119
99,6,154
99,7,43
99,14,33
99,15,156
99,16,115
99,17,117
99,18,33
99,19,6
99,20,3
99,21,29
99,22,25
100,0,85
100,1,134
100,2,121
100,3,181
100,4,222
100,5,193
100,6,275
100,7,18
100,15,23
100,16,19
100,17,61
100,18,3
100,19,52
100,20,20
100,21,151
100,22,223
100,23,123
101,0,193
101,1,171
101,2,191
101,3,332
101,4,343
101,5,292
101,6,230
101,18,18
101,19,149
101,20,22
101,21,97
101,22,61
101,23,30
102,0,128
102,1,158
102,2,244
102,3,263
102,4,322
102,5,322
102,6,158
102,19,1
102,20,183
102,21,75
102,22,48
102,23,20
102,24,46
102,25,20
103,0,13
