x,y,pressures
0,0,0
0,2,0
0,3,0
0,4,0
0,5,1
0,6,0
0,7,0
0,8,1
0,9,0
0,11,0
0,13,0
0,14,0
0,15,0
0,16,1
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,23,1
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,1
0,40,1
0,41,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,1
0,59,1
0,60,1
0,61,1
0,63,1
0,64,1
0,68,1
0,69,2
0,71,1
0,73,0
0,74,1
0,77,1
0,78,2
0,80,1
0,86,2
0,87,1
0,88,1
0,89,0
0,90,1
0,92,1
0,93,1
0,94,1
0,95,1
0,96,1
0,97,1
0,98,1
0,99,1
0,100,1
0,102,1
0,103,2
0,111,1
0,112,1
0,113,2
0,114,1
0,116,0
0,117,1
0,118,0
0,119,1
0,120,1
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,127,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,18,0
1,19,0
1,20,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,1
1,40,1
1,41,1
1,42,1
1,43,1
1,44,0
1,45,0
1,46,0
1,48,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,1
1,58,1
1,59,0
1,61,2
1,63,1
1,65,1
1,66,1
1,67,0
1,68,1
1,69,1
1,70,1
1,74,1
1,80,0
1,83,2
1,84,1
1,85,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,2
1,95,1
1,96,1
1,98,1
1,99,1
1,100,1
1,101,1
1,102,1
1,103,1
1,109,2
1,113,0
1,114,1
1,116,0
1,117,1
1,118,0
1,119,0
1,120,0
1,121,0
1,122,1
1,123,0
1,124,0
1,126,0
1,127,1
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,1
2,6,0
2,7,0
2,8,0
2,9,1
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,39,1
2,40,1
2,41,1
2,42,1
2,43,1
2,45,1
2,46,0
2,48,0
2,50,1
2,51,1
2,52,0
2,53,0
2,54,0
2,55,0
2,56,1
2,57,0
2,58,0
2,60,0
2,61,1
2,62,1
2,63,0
2,64,1
2,65,2
2,66,1
2,67,1
2,70,1
2,73,1
2,75,1
2,85,1
2,86,1
2,88,2
2,89,1
2,90,1
2,91,2
2,92,1
2,93,1
2,94,1
2,96,1
2,99,0
2,100,0
2,104,0
2,109,1
2,110,0
2,113,1
2,115,0
2,116,0
2,117,0
2,118,0
2,119,0
2,120,0
2,121,0
2,122,1
2,123,0
2,124,1
2,125,1
2,126,1
2,127,0
3,0,0
3,1,0
3,3,0
3,4,1
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,1
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,21,0
3,22,0
3,24,0
3,25,0
3,26,0
3,28,1
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,38,0
3,39,1
3,40,1
3,41,1
3,43,1
3,45,1
3,47,0
3,48,0
3,49,0
3,50,0
3,51,1
3,52,1
3,53,1
3,54,1
3,55,1
3,56,1
3,58,1
3,59,0
3,60,0
3,61,0
3,62,0
3,63,1
3,66,1
3,67,1
3,69,2
