x,y,pressures
0,0,0
0,3,1
0,5,1
0,9,0
0,11,1
0,13,0
0,14,0
0,15,1
0,16,1
0,17,1
0,19,1
0,20,1
0,21,0
0,24,1
0,26,0
0,27,0
0,28,1
0,37,0
0,38,1
0,39,1
0,40,1
0,41,1
0,42,1
0,46,1
0,47,1
0,48,1
0,49,0
0,55,1
0,56,1
0,57,1
0,60,1
0,76,0
0,81,0
0,83,0
0,85,0
0,88,1
0,89,1
0,94,1
0,95,1
0,100,1
0,102,1
0,108,0
0,109,1
0,111,1
0,112,1
0,113,1
0,115,1
0,116,0
0,117,1
0,118,0
0,119,1
0,120,0
0,121,1
1,0,1
1,1,1
1,3,1
1,7,1
1,14,0
1,17,1
1,18,1
1,19,0
1,20,1
1,28,1
1,29,1
1,30,1
1,37,1
1,38,1
1,41,1
1,42,1
1,43,0
1,44,1
1,45,1
1,46,1
1,47,1
1,48,0
1,49,0
1,50,1
1,55,1
1,57,0
1,58,0
1,59,0
1,60,1
1,61,1
1,62,1
1,63,1
1,64,0
1,78,1
1,79,0
1,86,1
1,87,1
1,92,0
1,97,0
1,98,0
1,100,0
1,102,1
1,103,0
1,104,1
1,106,0
1,108,1
1,110,1
1,111,1
1,112,1
1,113,1
1,116,1
1,119,1
2,0,1
2,1,0
2,7,0
2,9,0
2,11,0
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,20,1
2,21,1
2,22,1
2,24,1
2,25,1
2,26,1
2,28,1
2,30,0
2,31,1
2,38,1
2,39,1
2,40,0
2,41,1
2,42,1
2,45,0
2,46,1
2,47,0
2,48,0
2,56,0
2,58,1
2,59,1
2,61,1
2,62,1
2,63,1
2,64,1
2,70,0
2,73,0
2,82,1
2,86,0
2,87,1
2,90,0
2,91,1
2,94,1
2,97,0
2,99,0
2,102,0
2,105,0
2,106,1
2,107,0
2,109,1
2,113,0
2,119,1
2,120,1
2,121,1
3,0,1
3,2,0
3,3,0
3,5,1
3,6,1
3,7,0
3,9,0
3,13,1
3,15,1
3,17,1
3,18,1
3,19,1
3,20,1
3,21,1
3,22,1
3,23,1
3,25,1
3,26,1
3,30,0
3,31,1
3,36,0
3,38,1
3,39,1
3,40,1
3,41,1
3,42,1
3,43,1
3,46,1
3,55,0
3,57,0
3,59,0
3,60,0
3,61,0
3,62,1
3,70,0
3,73,0
3,74,1
3,80,1
3,85,1
3,86,1
3,90,0
3,91,1
3,93,0
3,98,0
3,100,0
3,101,0
3,107,0
3,108,1
3,109,1
3,111,0
3,113,1
3,114,0
3,117,0
3,118,1
3,119,1
3,120,1
3,121,1
4,0,0
4,1,0
4,3,1
4,4,1
4,5,1
4,6,1
4,10,1
4,11,1
4,12,1
4,13,1
4,15,1
4,16,1
4,17,1
4,18,1
4,19,1
4,20,1
4,22,1
4,23,1
4,24,1
4,25,1
4,27,0
4,28,1
4,30,0
4,36,0
4,38,1
4,39,1
4,40,1
4,41,1
4,44,1
4,45,1
4,46,1
4,49,1
4,50,1
4,54,0
4,56,0
4,61,0
4,62,1
4,67,1
4,68,0
4,71,1
4,74,0
4,79,0
4,85,1
4,86,1
4,87,1
4,91,0
4,93,0
4,98,0
4,100,0
4,102,0
4,103,0
4,107,1
4,108,0
4,109,1
4,110,0
4,112,1
4,113,1
4,119,1
4,120,1
4,121,1
5,0,0
5,1,1
5,2,0
5,6,1
5,7,1
5,9,1
5,10,1
5,11,1
5,13,1
5,14,1
5,17,1
5,18,1
5,19,1
5,22,1
5,23,1
5,24,0
5,25,1
5,26,1
5,27,1
5,28,1
5,29,1
5,31,1
5,38,1
5,41,0
5,42,1
5,43,1
5,44,1
5,49,1
5,51,1
5,60,0
5,61,0
5,63,1
5,64,1
5,69,1
5,71,1
5,77,1
5,83,1
5,85,1
5,86,0
5,88,1
5,89,1
5,94,0
5,96,1
5,99,0
5,103,0
5,105,0
5,106,0
5,107,0
5,109,1
5,111,1
5,113,0
5,115,1
5,116,0
5,117,0
5,118,1
5,119,1
5,120,1
5,121,1
5,122,1
5,124,1
5,127,1
6,0,1
6,1,1
6,2,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,13,1
6,14,1
6,15,1
6,17,0
6,21,1
6,22,1
6,23,1
6,24,1
6,25,0
6,27,1
6,29,0
6,31,1
6,32,1
6,38,1
6,40,1
6,45,0
6,49,0
6,51,1
6,53,0
6,62,1
6,63,1
6,65,0
6,70,0
6,71,1
6,72,1
6,76,1
6,77,1
6,83,1
6,85,1
6,88,1
6,96,1
6,98,1
6,99,0
6,110,0
6,111,1
6,113,0
6,114,1
6,115,1
6,116,1
6,117,1
6,119,1
6,120,1
6,121,1
6,122,1
6,123,1
6,124,1
6,125,1
6,126,0
6,127,1
7,0,1
7,1,1
7,2,1
7,3,1
7,4,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
7,11,1
7,13,1
7,14,1
7,15,1
7,21,0
7,22,1
7,23,1
7,26,1
7,27,1
7,31,1
7,38,1
7,41,0
7,42,1
7,45,1
7,46,1
7,47,1
7,48,1
7,49,0
7,52,0
7,53,0
7,56,0
7,57,0
7,59,0
7,60,0
7,61,0
7,64,1
7,71,0
7,75,1
7,76,1
7,85,1
7,89,1
7,90,0
7,97,1
7,98,1
7,99,1
7,100,0
7,104,0
7,107,1
7,108,1
7,109,1
7,110,1
7,111,1
7,113,1
7,115,1
7,117,1
7,120,1
7,121,1
7,122,1
7,123,1
7,125,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,1
8,12,1
8,13,1
8,14,1
8,15,0
8,22,0
8,23,0
8,25,0
8,28,1
8,29,1
8,33,0
8,34,1
8,35,1
8,42,0
8,48,1
8,49,1
8,52,0
8,53,0
8,54,0
8,55,0
8,56,0
8,57,0
8,58,0
8,62,1
8,64,1
8,65,0
8,69,0
8,71,0
8,80,1
8,81,1
8,82,0
8,95,0
8,102,1
8,104,0
8,107,1
8,108,0
8,111,1
8,112,0
8,113,1
8,114,1
8,115,1
8,117,1
8,118,1
8,119,1
8,121,1
8,122,1
9,3,1
9,4,0
9,6,1
9,7,1
9,8,1
9,10,1
9,11,1
9,13,0
9,15,0
9,16,0
9,24,0
9,26,1
9,27,1
9,28,1
9,32,1
9,34,1
9,47,0
9,48,0
9,52,0
9,53,0
9,56,0
9,57,0
9,60,0
9,62,1
9,63,1
9,64,1
9,65,0
9,70,0
9,74,0
9,78,0
9,79,1
9,80,0
9,81,1
9,100,0
9,101,1
9,102,1
9,104,0
9,108,1
9,109,1
9,111,0
9,114,1
9,116,1
9,118,1
9,119,1
9,121,1
9,123,1
9,124,1
9,126,0
10,0,1
10,2,0
10,3,1
10,5,1
10,9,1
10,10,1
10,15,0
10,23,0
10,25,0
10,26,1
10,29,0
10,30,1
