Key from Zotero;Publication Year;Author;Title;Abstract Note;DOI;Url;exposure_1;exposure_2;exposure_3;exposure_4;exposure_5;exposure_6;exposure_7;exposure_8;exposure_9;sensitivity_1;sensitivity_2;sensitivity_3;sensitivity_4;sensitivity_5;sensitivity_6;sensitivity_7;sensitivity_8;sensitivity_9;sensitivity_10;sensitivity_11;sensitivity_12;sensitivity_13;adaptive_capacity_1;adaptive_capacity_2;adaptive_capacity_3;adaptive_capacity_4;adaptive_capacity_5;adaptive_capacity_6;adaptive_capacity_8;Agrosilvopastoral;Alley cropping with annual crops;Forest farming;Hedgerows, riparian buffers and shelterbelts;Intercropped orchards;Forest grazing;Wood pasture;Alley systems with livestock;Grazed orchards;Mixed farming: Between-farms complementarity;Mixed farming: Between-farms synergy;Mixed farming: Within-farm complementarity;Mixed farming: Within-farm synergy;Southern Europe;Western and Central Europe;Northern Europe;Filters;notes
CBSA39JD;2014;"Alam, Mahbubul; Olivier, Alain; Paquette, Alain; Dupras, Jérôme; Revéret, Jean Pierre; Messier, Christian";A general framework for the quantification and valuation of ecosystem services of tree-based intercropping systems;This study provides the first complete framework for the valuation of ecosystem services of agroforestry and uses a tree-based intercropping (TBI) system in southern Québec, Canada, as a case study. Ten ecosystem services were estimated, all of which were of interest and directly applicable to most agricultural systems worldwide: nutrient mineralization, water quality, soil quality, pollination, biological control, air quality, windbreak, timber provisioning, agriculture provisioning, and climate regulation. A mix of mathematical models for the quantification and economic valuation of various ecosystem services were used. The results revealed a total annual margin of $2,645 ha-1 y-1 (averaged over 40 years). The economic value of combined non-market services was $1,634 ha-1 y-1, which was higher than the value of marketable products (i.e. timber and agricultural products). An analysis of the present value suggested that agricultural products ranked highest among the ecosystem services taken singularly, followed by water quality, air quality, climate regulation, and soil quality maintenance. Total economic value of all ecosystem services for the rotation period was $54,782 ha-1, only one third of which was contributed by agricultural products. Although the total value of the ecosystem services provided by TBI was high, farmers only benefited from agricultural and timber products. Thus, government incentives are needed to interest farmers in adopting practices that benefit society as a whole. © 2014 Springer Science+Business Media Dordrecht.;10.1007/s10457-014-9681-x;https://doi.org/10.1007/s10457-014-9681-x;x;x;;;;;;;;x;x;;;;x;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;x;x;x;;
7J7XB3AL;2015;"Altieri, Miguel A.; Nicholls, Clara I.; Henao, Alejandro; Lana, Marcos A.";Agroecology and the design of climate change-resilient farming systems;"Diverse, severe, and location-specific impacts on agricultural production are anticipated with climate change. The last IPCC report indicates that the rise of CO<inf>2</inf> and associated “greenhouse” gases could lead to a 1.4 to 5.8 °C increase in global surface temperatures, with subsequent consequences on precipitation frequency and amounts. Temperature and water availability remain key factors in determining crop growth and productivity; predicted changes in these factors will lead to reduced crop yields. Climate-induced changes in insect pest, pathogen and weed population dynamics and invasiveness could compound such effects. Undoubtedly, climate- and weather-induced instability will affect levels of and access to food supply, altering social and economic stability and regional competiveness. Adaptation is considered a key factor that will shape the future severity of climate change impacts on food production. Changes that will not radically modify the monoculture nature of dominant agroecosystems may moderate negative impacts temporarily. The biggest and most durable benefits will likely result from more radical agroecological measures that will strengthen the resilience of farmers and rural communities, such as diversification of agroecosytems in the form of polycultures, agroforestry systems, and crop-livestock mixed systems accompanied by organic soil management, water conservation and harvesting, and general enhancement of agrobiodiversity. Traditional farming systems are repositories of a wealth of principles and measures that can help modern agricultural systems become more resilient to climatic extremes. Many of these agroecological strategies that reduce vulnerabilities to climate variability include crop diversification, maintaining local genetic diversity, animal integration, soil organic management, water conservation and harvesting, etc. Understanding the agroecological features that underlie the resilience of traditional agroecosystems is an urgent matter, as they can serve as the foundation for the design of adapted agricultural systems. Observations of agricultural performance after extreme climatic events (hurricanes and droughts) in the last two decades have revealed that resiliency to climate disasters is closely linked to farms with increased levels of biodiversity. Field surveys and results reported in the literature suggest that agroecosystems are more resilient when inserted in a complex landscape matrix, featuring adapted local germplasm deployed in diversified cropping systems managed with organic matter rich soils and water conservation-harvesting techniques. The identification of systems that have withstood climatic events recently or in the past and understanding the agroecological features of such systems that allowed them to resist and/or recover from extreme events is of increased urgency, as the derived resiliency principles and practices that underlie successful farms can be disseminated to thousands of farmers via Campesino a Campesino networks to scale up agroecological practices that enhance the resiliency of agroecosystems. The effective diffusion of agroecological technologies will largely determine how well and how fast farmers adapt to climate change.";10.1007/s13593-015-0285-2;https://doi.org/10.1007/s13593-015-0285-2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;;;x;x;x;;
TZA5NMFU;2020;"Aguilera, Eduardo; Díaz-Gaona, Cipriano; García-Laureano, Raquel; Reyes-Palomo, Carolina; Guzmán, Gloria I.; Ortolani, Livia; Sánchez-Rodríguez, Manuel; Rodríguez-Estévez, Vicente";Agroecology for adaptation to climate change and resource depletion in the Mediterranean region. A review;;10.1016/j.agsy.2020.102809;https://doi.org/10.1016/j.agsy.2020.102809;;;;;;;;;x;;x;;;;x;;;x;;;x;;x;;;;x;x;;x;x;x;x;x;x;x;x;x;;;;;x;;;southern europe only;
SC26L9LX;2012;"Barrios, E.; Sileshi, G. W.; Shepherd, K.; Sinclair, F.";Agroforestry and Soil Health: Linking Trees, Soil Biota, and Ecosystem Services;Agricultural landscapes hold a large proportion of the world's biodiversity. Nevertheless, there is poor understanding of the contribution of agricultural management practices to conservation of biodiversity and soil functions that underpin the provision of soil-based ecosystem services. Evidence has shown a strong link between aboveground and belowground biodiversity, highlighting the impact of land use and management on the provision of soil-based ecosystem services. Agroforestry – the integration of trees into agricultural fields and landscapes – has the potential to facilitate the transition to multifunctional agriculture that successfully addresses the challenge of optimizing crop productivity while maintaining the provision of other ecosystem services. In order to realize this potential, however, there is considerable need for greater understanding of how to optimize tree–soil biota interactions that improve agroecosystem function and soil health.;10.1093/acprof:oso/9780199575923.003.0028;https://doi.org/10.1093/acprof:oso/9780199575923.003.0028;;;;;;;;;;x;x;;;;x;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;;;;;x;x;x;;
FIWIFUMN;2020;"Damianidis, Christos; Santiago-Freijanes, Jose Javier; den Herder, Michael; Burgess, Paul; Mosquera-Losada, Maria Rosa; Graves, Anil; Papadopoulos, Andreas; Pisanelli, Andrea; Camilli, Francesca; Rois-Díaz, Mercedes; Kay, Sonja; Palma, Joao H. N.; Pantera, Anastasia";Agroforestry as a sustainable land use option to reduce wildfires risk in European Mediterranean areas;Wildfires have always been an integral part of the ecology of many terrestrial ecosystems, but their frequency is increasing in many parts of the world. Wildfires were once a natural phenomenon, but after humans learned to control fire, it has been used as a management tool to increase soil fertility, to regenerate natural vegetation for grazing and to control competing vegetation. However, currently uncontrolled wildfires threaten not only natural vegetation, landscape biodiversity, communities and economies, but they also release large amounts of carbon dioxide, thus contributing to global temperature increase. Higher temperatures and drier summers have increased the risk of wildfires in biodiversity rich areas of European Mediterranean countries and have resulted in human casualties. The aim of this article is to investigate whether agroforestry, the practice of integrating woody vegetation and agricultural crops and/or livestock, could be a management tool to reduce wildfires in European Mediterranean countries. Fire events from 2008 to 2017 and data of land cover and land use were spatially correlated. Results indicated that agroforestry areas had fewer wildfire incidents than forests, shrublands or grasslands, providing evidence of the potential of agroforestry to reduce fire risk and protect ecosystems.;10.1007/s10457-020-00482-w;https://doi.org/10.1007/s10457-020-00482-w;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;southern europe only;
VQN4SGU6;2020;"Sollen-Norrlin, Maya; Ghaley, Bhim Bahadur; Rintoul, Naomi Laura Jane";Agroforestry benefits and challenges for adoption in Europe and beyond;Soil degradation is a global concern, decreasing the soil’s ability to perform a multitude of functions. In Europe, one of the leading causes of soil degradation is unsustainable agricultural practices. Hence, there is a need to explore alternative production systems for enhanced agronomic productivity and environmental performance, such as agroforestry systems (AFS). Given this, the objective of the study is to enumerate the major benefits and challenges in the adoption of AFS. AFS can improve agronomic productivity, carbon sequestration, nutrient cycling, soil biodiversity, water retention, and pollination. Furthermore, they can reduce soil erosion and incidence of fire and provide recreational and cultural benefits. There are several challenges to the adoption and uptake of AFS in Europe, including high costs for implementation, lack of financial incentives, limited AFS product marketing, lack of education, awareness, and field demonstrations. Policies for financial incentives such as subsidies and payments for ecosystem services provided by AFS must be introduced or amended. Awareness of AFS products must be increased for consumers through appropriate marketing strategies, and landowners need more opportunities for education on how to successfully manage diverse, economically viable AFS. Finally, field-based evidence is required for informed decision-making by farmers, advisory services, and policy-making bodies.;10.3390/su12177001;https://doi.org/10.3390/su12177001;x;;;;;;;;x;x;x;;;;x;;;;;;;;x;x;;;;;;x;x;;x;x;;x;x;x;;;;;x;x;x;;
SKLLUW9F;2019;"Kay, Sonja; Rega, Carlo; Moreno, Gerardo; den Herder, Michael; Palma, João H. N.; Borek, Robert; Crous-Duran, Josep; Freese, Dirk; Giannitsopoulos, Michail; Graves, Anil; Jäger, Mareike; Lamersdorf, Norbert; Memedemin, Daniyar; Mosquera-Losada, Rosa; Pantera, Anastasia; Paracchini, Maria Luisa; Paris, Pierluigi; Roces-Díaz, José V.; Rolo, Victor; Rosati, Adolfo; Sandor, Mignon; Smith, Jo; Szerencsits, Erich; Varga, Anna; Viaud, Valérie; Wawer, Rafal; Burgess, Paul J.; Herzog, Felix";Agroforestry creates carbon sinks whilst enhancing the environment in agricultural landscapes in Europe;Agroforestry, relative to conventional agriculture, contributes significantly to carbon sequestration, increases a range of regulating ecosystem services, and enhances biodiversity. Using a transdisciplinary approach, we combined scientific and technical knowledge to evaluate nine environmental pressures in terms of ecosystem services in European farmland and assessed the carbon storage potential of suitable agroforestry systems, proposed by regional experts. First, regions with potential environmental pressures were identified with respect to soil health (soil erosion by water and wind, low soil organic carbon), water quality (water pollution by nitrates, salinization by irrigation), areas affected by climate change (rising temperature), and by underprovision in biodiversity (pollination and pest control pressures, loss of soil biodiversity). The maps were overlaid to identify areas where several pressures accumulate. In total, 94.4% of farmlands suffer from at least one environmental pressure, pastures being less affected than arable lands. Regional hotspots were located in north-western France, Denmark, Central Spain, north and south-western Italy, Greece, and eastern Romania. The 10% of the area with the highest number of accumulated pressures were defined as Priority Areas, where the implementation of agroforestry could be particularly effective. In a second step, European agroforestry experts were asked to propose agroforestry practices suitable for the Priority Areas they were familiar with, and identified 64 different systems covering a wide range of practices. These ranged from hedgerows on field boundaries to fast growing coppices or scattered single tree systems. Third, for each proposed system, the carbon storage potential was assessed based on data from the literature and the results were scaled-up to the Priority Areas. As expected, given the wide range of agroforestry practices identified, the carbon sequestration potentials ranged between 0.09 and 7.29 t C ha −1 a −1 . Implementing agroforestry on the Priority Areas could lead to a sequestration of 2.1 to 63.9 million t C a −1 (7.78 and 234.85 million t CO 2eq a −1 ) depending on the type of agroforestry. This corresponds to between 1.4 and 43.4% of European agricultural greenhouse gas (GHG) emissions. Moreover, promoting agroforestry in the Priority Areas would contribute to mitigate the environmental pressures identified there. We conclude that the strategic and spatially targeted establishment of agroforestry systems could provide an effective means of meeting EU policy objectives on GHG emissions whilst providing a range of other important benefits.;10.1016/j.landusepol.2019.02.025;https://doi.org/10.1016/j.landusepol.2019.02.025;;;;;;;;;;x;x;;;;x;;;;;;;;;;;;;;;x;x;;x;x;;x;x;x;;;;;x;x;x;;
73WEYIGR;2009;Jose, Shibu;Agroforestry for ecosystem services and environmental benefits: An overview;"Agroforestry systems are believed to provide a number of ecosystem services; however, until recently evidence in the agroforestry literature supporting these perceived benefits has been lacking. This special issue brings together a series of papers from around the globe to address recent findings on the ecosystem services and environmental benefits provided by agroforestry. As prelude to the special issue, this paper examines four major ecosystem services and environmental benefits of agroforestry: (1) carbon sequestration, (2) biodiversity conservation, (3) soil enrichment and (4) air and water quality. Past and present evidence clearly indicates that agroforestry, as part of a multifunctional working landscape, can be a viable land-use option that, in addition to alleviating poverty, offers a number of ecosystem services and environmental benefits. This realization should help promote agroforestry and its role as an integral part of a multifunctional working landscape the world over. © 2009 Springer Science+Business Media B.V.";10.1007/s10457-009-9229-7;https://doi.org/10.1007/s10457-009-9229-7;x;;x;;;;;;;x;x;;;;x;;;;;;;;;;;;;;;x;x;x;x;x;x;x;x;x;;;;;x;x;x;;
RMJ35SZJ;2023;"Rolo, Víctor; Rivest, David; Maillard, Émilie; Moreno, Gerardo";Agroforestry potential for adaptation to climate change: A soil-based perspective;Agricultural systems face several challenges that threaten their capacity to feed the world while maintaining a healthy and functional environment. Climate change, together with soil degradation, biodiversity loss, resource scarcity and invasive species, is a major threat to agricultural systems worldwide. In this context, new practices have been proposed to circumvent or minimize these threats. Yet, these mostly focus on the farm or plant level (e.g., breeding for stress-tolerant species), while frequently overlooking belowground components (e.g., soil organic carbon accrual). By interlinking above- and below-ground components, the likelihood of limiting the negative effects of current threats to agricultural systems can be maximized. This review explores current knowledge regarding agroforestry and its effects on belowground components as a key property in the reducing effects of climate change. We first review tree effects on key soil properties of agricultural systems. We synthesize evidence regarding agroforestry systems response to current environmental threats that are related to climate change. We continue by discussing how soil processes play a fundamental role in the capacity of agroforestry systems to cope with climate change. We conclude by proposing options on how resilience of agroforestry systems could be further enhanced.;10.1111/sum.12932;https://doi.org/10.1111/sum.12932;x;;x;x;;x;x;;;x;x;;;;x;;;;;;;;;;;;;;;x;x;;x;x;;x;x;x;;;;;x;x;x;;
5W7XSSES;2002;"Udawatta, Ranjith P.; Krstansky, J. John; Henderson, Gray S.; Garrett, Harold E.";Agroforestry Practices, Runoff, and Nutrient Loss;A paired watershed study consisting of agroforestry (trees plus grass buffer strips), contour strips (grass buffer strips), and control treatments with a corn (Zea mays L.)–soybean [Glycine max (L.) Merr.] rotation was used to examine treatment effects on runoff, sediment, and nutrient losses. During the (1991–1997) calibration and subsequent three-year treatment periods, runoff wasmeasured in 0.91- and 1.37-m H-flumes with bubbler flow meters. Composite samples were analyzed for sediment, total phosphorus (TP), total nitrogen (TN), nitrate, and ammonium. Calibration equations developed to predict runoff, sediment, and nutrients losses explained 66 to 97% of the variability between treatment watersheds. The contour strip and agroforestry treatments reduced runoff by 10 and 1% during the treatment period. In both treatments, most runoff reductions occurred in the second and third years after treatment establishment. The contour strip treatment reduced erosion by19%in 1999, while erosion in the agroforestry treatment exceeded the predicted loss. Treatments reduced TP loss by 8 and 17% on contour strip and agroforestry watersheds. Treatments did not result in reductions in TN during the first two years of the treatment period. The contour strip and agroforestry treatments reduced TN loss by 21 and 20%, respectively, during a large precipitation event in the third year. During the third year of treatments, nitrate N loss was reduced 24 and 37% by contour strip and agroforestry treatments. Contour strip and agroforestry man- agement practices effectively reduced nonpoint-source pollution in runoff from a corn–soybean rotation in the clay pan soils of northeast- ern Missouri.;10.2134/jeq2002.1214;https://doi.org/10.2134/jeq2002.1214;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;x;x;;
