NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,URB_VALUE,URB_CLASS,AGE_VALUE,AGE_CLASS,ECS_VALUE,ECS_CLASS,UNR_VALUE,UNR_CLASS,TRN_VALUE,TRN_CLASS,ORG_VALUE,ORG_CLASS
DE12,"2",DE,Karlsruhe,Karlsruhe,1.00000000000,Predominantly urban,1.16071428571,High,103187.73696100000,Medium to Large,3.10000000000,Low,0.14211886305,Medium to low,8.84353741497,High
CH05,"2",CH,Ostschweiz,Ostschweiz,2.00000000000,Intermediate,2.55223880597,Very high,121386.85592400000,Medium to Large,3.10000000000,Low,0.03106332139,Very low,20.48517520220,Very high
CZ02,"2",CZ,Střední Čechy,Střední Čechy,1.00000000000,Predominantly urban,1.04166666667,High,238037.07859100000,Very Large,1.20000000000,Very low,0.73239436620,Very high,10.02710027100,High
CH01,"2",CH,Région lémanique,Région lémanique,2.00000000000,Intermediate,1.52631578947,Very high,158553.95909100000,Large,6.90000000000,High,0.03053435115,Very low,8.11965811966,Medium to high
BE24,"2",BE,Prov. Vlaams-Brabant,Prov. Vlaams-Brabant,1.00000000000,Predominantly urban,0.43055555556,Medium to low,158960.33333299999,Large,3.60000000000,Medium to low,0.26168224299,Medium to high,3.33333333333,Medium to low
BG33,"2",BG,Severoiztochen,Североизточен,2.00000000000,Intermediate,0.64434180139,Medium to high,47679.45198780000,Medium to Small,5.60000000000,Medium to high,0.16702355460,Medium to low,4.58715596330,Medium to low
CZ03,"2",CZ,Jihozápad,Jihozápad,3.00000000000,Predominantly rural,1.11702127660,High,178604.93893100001,Large,1.70000000000,Very low,0.71241830065,Very high,23.66412213740,Very high
CY00,"2",CY,Kýpros,Κύπρος,2.00000000000,Intermediate,0.10942441493,Very low,25749.19618210000,Small,6.80000000000,High,0.01098574822,Very low,3.67107195301,Medium to low
CZ01,"2",CZ,Praha,Praha,1.00000000000,Predominantly urban,0.00000000000,No data,344714.58333300002,Very Large,1.60000000000,Very low,0.50000000000,High,8.33333333333,Medium to high
BG34,"2",BG,Yugoiztochen,Югоизточен,2.00000000000,Intermediate,0.70242914980,Medium to high,42264.12908500000,Small,4.50000000000,Medium to high,0.13975155280,Medium to low,4.62962962963,Medium to low
AT11,"2",AT,Burgenland,Burgenland,3.00000000000,Predominantly rural,1.94642857143,Very high,74610.53888890000,Medium to Small,4.30000000000,Medium to low,0.33995037221,High,23.51851851850,Very high
DE14,"2",DE,Tübingen,Tübingen,3.00000000000,Predominantly rural,1.38532110092,High,117404.24951300000,Medium to Large,2.10000000000,Very low,0.12747252747,Medium to low,13.74269005850,Very high
AT22,"2",AT,Steiermark,Steiermark,3.00000000000,Predominantly rural,3.17391304348,Very high,53253.14692790000,Medium to Small,3.70000000000,Medium to low,0.24570160843,Medium to high,19.10062333040,Very high
BE25,"2",BE,Prov. West-Vlaanderen,Prov. West-Vlaanderen,1.00000000000,Predominantly urban,0.53977272727,Medium to high,278228.02509399998,Very Large,2.70000000000,Very low,0.34175084175,High,1.50564617315,Low
BE22,"2",BE,Prov. Limburg (BE),Prov. Limburg (BE),2.00000000000,Intermediate,0.51562500000,Medium to high,252374.08098599999,Very Large,3.50000000000,Low,0.29090909091,Medium to high,2.46478873239,Medium to low
BE23,"2",BE,Prov. Oost-Vlaanderen,Prov. Oost-Vlaanderen,1.00000000000,Predominantly urban,0.37195121951,Medium to low,204107.85880399999,Large,2.00000000000,Very low,0.27215189873,Medium to high,1.82724252492,Low
BG41,"2",BG,Yugozapaden,Югозападен,2.00000000000,Intermediate,0.45858343337,Medium to high,12055.67725290000,Very Small,3.20000000000,Low,0.05002084202,Low,1.46883684002,Low
CZ06,"2",CZ,Jihovýchod,Jihovýchod,2.00000000000,Intermediate,0.59615384615,Medium to high,183938.64243099999,Large,1.70000000000,Very low,0.40771812081,High,7.98569725864,Medium to high
CH07,"2",CH,Ticino,Ticino,2.00000000000,Intermediate,1.00000000000,High,76986.52830190002,Medium to Small,6.50000000000,High,0.02439024390,Very low,11.71171171170,High
ES53,"2",ES,Illes Balears,Illes Balears,2.00000000000,Intermediate,0.15938864629,Low,23275.39421160000,Small,10.90000000000,Very high,0.06369426752,Low,6.18762475050,Medium to high
AT33,"2",AT,Tirol,Tirol,2.00000000000,Intermediate,2.50515463918,Very high,30757.68936570000,Small,3.20000000000,Low,0.18191841235,Medium to low,21.82835820900,Very high
AT12,"2",AT,Niederösterreich,Niederösterreich,2.00000000000,Intermediate,3.22167487685,Very high,70703.44386509999,Medium to Small,3.90000000000,Medium to low,0.42757936508,High,21.06360792490,Very high
DE13,"2",DE,Freiburg,Freiburg,2.00000000000,Intermediate,1.09375000000,High,72508.26188490000,Medium to Small,2.30000000000,Very low,0.08499095841,Low,11.75979983320,High
DE21,"2",DE,Oberbayern,Oberbayern,1.00000000000,Predominantly urban,1.83568075117,Very high,94672.42477880001,Medium to Large,2.20000000000,Very low,0.09757281553,Low,14.03353927630,Very high
CH06,"2",CH,Zentralschweiz,Zentralschweiz,2.00000000000,Intermediate,3.50000000000,Very high,107273.70632000000,Medium to Large,2.40000000000,Very low,0.03565891473,Very low,10.71849234390,High
BG32,"2",BG,Severen tsentralen,Северен централен,3.00000000000,Predominantly rural,0.64961636829,Medium to high,52117.81989250000,Medium to Small,6.00000000000,Medium to high,0.20177562550,Medium to high,4.16666666667,Medium to low
AT34,"2",AT,Vorarlberg,Vorarlberg,1.00000000000,Predominantly urban,1.96969696970,Very high,47266.14634150000,Medium to Small,3.20000000000,Low,0.14741035857,Medium to low,18.11846689900,Very high
BE10,"2",BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,1.00000000000,Predominantly urban,0.00000000000,No data,0.00000000000,No data,11.40000000000,Very high,0.20000000000,Medium to high,33.33333333330,Very high
BE21,"2",BE,Prov. Antwerpen,Prov. Antwerpen,1.00000000000,Predominantly urban,0.82539682540,Medium to high,378826.40108400001,Very Large,4.00000000000,Medium to low,0.29020979021,Medium to high,2.43902439024,Medium to low
BE33,"2",BE,Prov. Liège,Prov. Liège,2.00000000000,Intermediate,0.66176470588,Medium to high,189111.03870999999,Large,8.30000000000,High,0.26530612245,Medium to high,14.51612903230,Very high
CH02,"2",CH,Espace Mittelland,Espace Mittelland,2.00000000000,Intermediate,2.57894736842,Very high,128895.04274000000,Medium to Large,3.90000000000,Medium to low,0.03014705882,Very low,10.26252983290,High
CH03,"2",CH,Nordwestschweiz,Nordwestschweiz,1.00000000000,Predominantly urban,1.44117647059,Very high,126493.81818200000,Medium to Large,4.30000000000,Medium to low,0.04430379747,Very low,8.68544600939,Medium to high
BG42,"2",BG,Yuzhen tsentralen,Южен централен,3.00000000000,Predominantly rural,0.41097818438,Medium to low,16188.81539540000,Very Small,3.00000000000,Low,0.05818271849,Low,2.33972859148,Low
AT31,"2",AT,Oberösterreich,Oberösterreich,3.00000000000,Predominantly rural,5.95876288660,Very high,77555.61630480000,Medium to Small,2.90000000000,Low,0.42875237492,High,20.11519716440,Very high
CH04,"2",CH,Zürich,Zürich,1.00000000000,Predominantly urban,1.34285714286,High,142310.72981399999,Medium to Large,3.90000000000,Medium to low,0.03284671533,Very low,10.31518624640,High
CZ05,"2",CZ,Severovýchod,Severovýchod,3.00000000000,Predominantly rural,0.89655172414,Medium to high,215129.90990999999,Very Large,2.20000000000,Very low,0.58362989324,Very high,16.21621621620,Very high
AT32,"2",AT,Salzburg,Salzburg,3.00000000000,Predominantly rural,4.75675675676,Very high,41761.08551720000,Small,3.00000000000,Low,0.27192982456,Medium to high,51.86206896550,Very high
AT21,"2",AT,Kärnten,Kärnten,3.00000000000,Predominantly rural,2.98780487805,Very high,35396.02040820000,Small,4.50000000000,Medium to high,0.24727272727,Medium to high,18.56171039840,Very high
BE31,"2",BE,Prov. Brabant Wallon,Prov. Brabant Wallon,2.00000000000,Intermediate,0.00000000000,No data,213855.78640800001,Large,5.50000000000,Medium to high,0.30769230769,Medium to high,8.73786407767,Medium to high
CZ08,"2",CZ,Moravskoslezsko,Moravskoslezsko,2.00000000000,Intermediate,1.17142857143,High,131157.71134000001,Medium to Large,4.00000000000,Medium to low,0.45522388060,High,20.10309278350,Very high
AT13,"2",AT,Wien,Wien,1.00000000000,Predominantly urban,0.00000000000,No data,239524.04347800001,Very Large,9.20000000000,Very high,0.76923076923,Very high,17.39130434780,Very high
BE32,"2",BE,Prov. Hainaut,Prov. Hainaut,1.00000000000,Predominantly urban,0.62195121951,Medium to high,186787.96419400000,Large,10.50000000000,Very high,0.30666666667,Medium to high,5.37084398977,Medium to high
ES61,"2",ES,Andalucía,Andalucía,1.00000000000,Predominantly urban,0.22269476126,Low,41838.84311970001,Small,19.00000000000,Very high,0.02866364405,Very low,5.54310473629,Medium to high
ES62,"2",ES,Región de Murcia,Región de Murcia,2.00000000000,Intermediate,0.19492385787,Low,101870.38871000000,Medium to Large,13.30000000000,Very high,0.04507160910,Very low,12.17741935480,High
ES63,"2",ES,Ciudad de Ceuta,Ciudad de Ceuta,1.00000000000,Predominantly urban,0.00000000000,No data,0.00000000000,No data,28.40000000000,Very high,0.00000000000,No data,0.00000000000,No data
ES64,"2",ES,Ciudad de Melilla,Ciudad de Melilla,1.00000000000,Predominantly urban,0.00000000000,No data,0.00000000000,No data,21.60000000000,Very high,0.00000000000,No data,0.00000000000,No data
DEF0,"2",DE,Schleswig-Holstein,Schleswig-Holstein,2.00000000000,Intermediate,1.15172413793,High,236981.51763700001,Very Large,2.90000000000,Low,0.44774346793,High,5.82444626743,Medium to high
FI1B,"2",FI,Helsinki-Uusimaa,Helsinki-Uusimaa,1.00000000000,Predominantly urban,0.81818181818,Medium to high,57710.82781460000,Medium to Small,6.70000000000,High,0.18972332016,Medium to low,12.91390728480,Very high
ES11,"2",ES,Galicia,Galicia,2.00000000000,Intermediate,0.13699007718,Very low,31549.09317430000,Small,11.00000000000,Very high,0.02891040502,Very low,0.83499005964,Very low
FR10,"2",FR,Ile-de-France,Ile-de-France,1.00000000000,Predominantly urban,1.15151515152,High,199929.60981299999,Large,7.50000000000,High,1.03333333333,Very high,10.28037383180,High
