main_theme;code;theme;description
Exposure;exposure_1;Trees provide shelter which reduces exposure to wind and the risk of wind damage.;Reduces the risk of wind damage to crops, soil (i.e. reduces soil erosion) and farming infrastructure.
Exposure;exposure_2;Trees provide shelter which reduces exposure to wind and wind chill.;Reduces wind chill impacts on livestock, crops and humans. This increases crop and livestock health and welfare and impacts survival, fertilization, growth and productivity.
Exposure;exposure_3;Trees provide shelter which reduces exposure to wind and water loss from soil and vegetation.;Reduces water loss from soil and vegetation by reducing vapour pressure deficit.
Exposure;exposure_4;Trees provide shelter which reduces exposure to extreme precipitation.;Reduces the impact of heavy rainfall on the understorey which reduces the risk of soil erosion.
Exposure;exposure_5;Trees provide shelter which reduces exposure to cold nights.;Increases temperature in cold nights under the canopy increasing  livestock health and welfare and impacts survival, growth and productivity.
Exposure;exposure_6;Trees provide shade which reduces exposure to temperature extremes.;Increases livestock health and welfare and impacts survival, growth and productivity.
Exposure;exposure_7;Trees provide shade which reduces exposure to radiation.;Reduces soil evaporation and vegetation evapotranspiration which impacts tree, crop and grass growth and productivity.
Exposure;exposure_8;Trees act as barriers to reduce exposure to pests and diseases.;Reduces the risk of crop and livestock pests or diseases and impacts crop and livestock health, survival, growth and productivity.
Exposure;exposure_9;Active management by agroforestry reduces exposure to wildfires.;Reduces the risk of wildfires in forests due to reduced fuel load (by grazing livestock) and lower tree densities. This impacts tree survival, growth and productivity, and human health.
Sensitivity;sensitivity_1;Tree roots reduce sensitivity to precipitation changes and extremes by increasing water infiltration and enhancing soil structure.;Reduces flooding and waterlogging, water run-off, soil erosion and nutrient loss through leaching. This impacts crop and pasture health, survival, growth and productivity.
Sensitivity;sensitivity_2;Trees reduce sensitivity to precipitation changes and extremes by increasing soil organic matter.;Leaf fall and root turnover increase soil organic matter which increases water holding capacity and soil biodiversity. This impacts crop and pasture health, survival, growth and productivity.
Sensitivity;sensitivity_3;Livestock reduce sensitivity to climate impacts on trees by increasing nutrient cycling.;Integrating livestock into tree systems increases nutrient cycling through grazing and manure deposition. This impacts tree health, growth and productivity.
